Time,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,
0.000000,0.000000e+00,-7.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e-01,3.000000e-01,1.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,
1.000000,9.987613e-02,-6.975265e-01,4.342739e-05,-3.393115e-02,3.676967e-02,3.274537e-02,9.960990e-02,4.955668e-03,8.743343e-05,-6.780099e-02,7.290712e-02,6.365883e-02,2.042514e-01,2.958759e-01,9.976878e-02,1.004729e-01,1.480963e-01,4.955204e-02,9.826139e-01,
2.000000,1.989207e-01,-6.900690e-01,2.407523e-04,-1.354315e-01,1.441103e-01,1.224158e-01,9.833642e-02,9.968648e-03,3.533283e-04,-1.350772e-01,1.408566e-01,1.128094e-01,2.084340e-01,2.917158e-01,9.953810e-02,1.996302e-01,2.891865e-01,9.677202e-02,9.312373e-01,
3.000000,2.962904e-01,-6.775763e-01,9.044833e-04,-3.034221e-01,3.161530e-01,2.489411e-01,9.628050e-02,1.502070e-02,1.054988e-03,-2.003977e-01,2.019506e-01,1.343550e-01,2.125476e-01,2.875208e-01,9.930795e-02,2.939911e-01,4.185924e-01,1.395379e-01,8.479151e-01,
4.000000,3.912799e-01,-6.600478e-01,2.496434e-03,-5.337966e-01,5.441418e-01,3.740586e-01,9.359942e-02,2.002490e-02,2.198953e-03,-2.590490e-01,2.520418e-01,1.069404e-01,2.165919e-01,2.832925e-01,9.907833e-02,3.802341e-01,5.321877e-01,1.759598e-01,7.357870e-01,
5.000000,4.833687e-01,-6.376325e-01,5.256889e-03,-8.157162e-01,8.126862e-01,4.421790e-01,9.050746e-02,2.476410e-02,3.325701e-03,-3.023049e-01,2.817443e-01,1.918104e-02,2.205670e-01,2.790322e-01,9.884925e-02,4.552863e-01,6.264755e-01,2.044346e-01,5.989190e-01,
6.000000,5.722656e-01,-6.107308e-01,8.821879e-03,-1.129735e+00,1.096914e+00,3.966412e-01,8.725219e-02,2.895590e-02,3.700482e-03,-3.220191e-01,2.820572e-01,-1.191018e-01,2.244725e-01,2.747413e-01,9.862069e-02,5.164206e-01,6.986770e-01,2.237073e-01,4.421512e-01,
7.000000,6.579094e-01,-5.799634e-01,1.225260e-02,-1.451595e+00,1.368890e+00,1.987224e-01,8.403415e-02,3.247518e-02,3.004300e-03,-3.179706e-01,2.580919e-01,-2.810763e-01,2.283084e-01,2.704211e-01,9.839266e-02,5.613482e-01,7.468127e-01,2.329278e-01,2.709403e-01,
8.000000,7.404179e-01,-5.459805e-01,1.457571e-02,-1.759575e+00,1.614108e+00,-1.574500e-01,8.100722e-02,3.539695e-02,1.525847e-03,-2.949828e-01,2.319482e-01,-4.297041e-01,2.320746e-01,2.660729e-01,9.816516e-02,5.883226e-01,7.697536e-01,2.316681e-01,9.116436e-02,
9.000000,8.200302e-01,-5.093100e-01,1.524181e-02,-2.037401e+00,1.844115e+00,-6.294521e-01,7.825941e-02,3.786908e-02,-2.426877e-04,-2.582404e-01,2.318334e-01,-5.038561e-01,2.357710e-01,2.616981e-01,9.793819e-02,5.961900e-01,7.672269e-01,2.199382e-01,-9.108754e-02,
10.000000,8.970174e-01,-4.703368e-01,1.415682e-02,-2.273456e+00,2.090755e+00,-1.122704e+00,7.575391e-02,4.001828e-02,-1.930998e-03,-2.121129e-01,2.670933e-01,-4.632873e-01,2.393975e-01,2.572979e-01,9.771174e-02,5.844174e-01,7.397973e-01,1.981900e-01,-2.697194e-01,
11.000000,9.715663e-01,-4.293381e-01,1.150878e-02,-2.459787e+00,2.384201e+00,-1.541855e+00,7.336027e-02,4.193708e-02,-3.326691e-03,-1.593466e-01,3.220474e-01,-3.668004e-01,2.429541e-01,2.528737e-01,9.748581e-02,5.531226e-01,6.888293e-01,1.672896e-01,-4.388269e-01,
12.000000,1.043730e+00,-3.865217e-01,7.620446e-03,-2.590702e+00,2.736769e+00,-1.883518e+00,7.097151e-02,4.366087e-02,-4.406046e-03,-1.014271e-01,3.846566e-01,-3.279623e-01,2.464408e-01,2.484267e-01,9.726041e-02,5.030759e-01,6.164235e-01,1.284816e-01,-5.928930e-01,
13.000000,1.113475e+00,-3.420865e-01,2.790714e-03,-2.664379e+00,3.150844e+00,-2.233311e+00,6.850668e-02,4.517086e-02,-5.212825e-03,-4.629476e-02,4.433948e-01,-3.837936e-01,2.498576e-01,2.439583e-01,9.703552e-02,4.356750e-01,5.253248e-01,8.333575e-02,-7.269617e-01,
14.000000,1.180743e+00,-2.962421e-01,-2.687450e-03,-2.691840e+00,3.613851e+00,-2.679624e+00,6.603054e-02,4.648574e-02,-5.686395e-03,-1.234727e-02,4.784098e-01,-5.215532e-01,2.532045e-01,2.394696e-01,9.681116e-02,3.529009e-01,4.188163e-01,3.368219e-02,-8.367909e-01,
15.000000,1.245671e+00,-2.491575e-01,-8.409616e-03,-2.699568e+00,4.105078e+00,-3.241618e+00,6.388310e-02,4.766089e-02,-5.671576e-03,-7.463305e-03,5.038587e-01,-5.852126e-01,2.564814e-01,2.349620e-01,9.658732e-02,2.572500e-01,3.005993e-01,-1.846541e-02,-9.189658e-01,
16.000000,1.308648e+00,-2.009634e-01,-1.383156e-02,-2.714404e+00,4.626576e+00,-3.782952e+00,6.215438e-02,4.870528e-02,-5.084393e-03,-2.492940e-02,5.414190e-01,-4.624092e-01,2.596886e-01,2.304366e-01,9.636399e-02,1.516558e-01,1.746751e-01,-7.099442e-02,-9.710037e-01,
17.000000,1.370226e+00,-1.518112e-01,-1.849520e-02,-2.750754e+00,5.182373e+00,-4.125957e+00,6.113289e-02,4.956046e-02,-4.225250e-03,-4.755806e-02,5.657569e-01,-2.110654e-01,2.628260e-01,2.258946e-01,9.614118e-02,3.943869e-02,4.518305e-02,-1.217370e-01,-9.914686e-01,
18.000000,1.431189e+00,-1.019618e-01,-2.242624e-02,-2.801778e+00,5.742963e+00,-4.221549e+00,6.092084e-02,5.007674e-02,-3.719874e-03,-4.939146e-02,5.470116e-01,1.009529e-02,2.658937e-01,2.213374e-01,9.591889e-02,-7.586611e-02,-8.371128e-02,-1.686051e-01,-9.799267e-01,
19.000000,1.492222e+00,-5.176888e-02,-2.609963e-02,-2.834596e+00,6.258367e+00,-4.129981e+00,6.120230e-02,5.025794e-02,-3.700162e-03,-8.717693e-03,4.752898e-01,1.597027e-01,2.688918e-01,2.167660e-01,9.569711e-02,-1.905895e-01,-2.079588e-01,-2.096508e-01,-9.369892e-01,
20.000000,1.553593e+00,-1.515894e-03,-2.987010e-02,-2.809891e+00,6.685695e+00,-3.923250e+00,6.152589e-02,5.021312e-02,-3.854888e-03,6.051839e-02,3.782453e-01,2.457693e-01,2.718206e-01,2.121817e-01,9.547584e-02,-3.010517e-01,-3.237437e-01,-2.431389e-01,-8.642540e-01,
21.000000,1.615248e+00,4.857183e-02,-3.386703e-02,-2.714654e+00,7.019939e+00,-3.644539e+00,6.177634e-02,4.991413e-02,-4.180909e-03,1.288781e-01,2.934327e-01,3.101698e-01,2.746800e-01,2.075856e-01,9.525508e-02,-4.036691e-01,-4.276113e-01,-2.676212e-01,-7.642616e-01,
22.000000,1.677158e+00,9.818576e-02,-3.837816e-02,-2.555459e+00,7.280623e+00,-3.300745e+00,6.204891e-02,4.927281e-02,-4.892270e-03,1.885162e-01,2.303704e-01,3.781888e-01,2.774702e-01,2.029788e-01,9.503483e-02,-4.950087e-01,-5.164987e-01,-2.819598e-01,-6.405108e-01,
23.000000,1.739418e+00,1.469442e-01,-4.384690e-02,-2.341834e+00,7.491526e+00,-2.881857e+00,6.245384e-02,4.828138e-02,-6.004268e-03,2.396473e-01,1.890695e-01,4.582074e-01,2.801915e-01,1.983627e-01,9.481510e-02,-5.718343e-01,-5.879159e-01,-2.853033e-01,-4.975347e-01,
24.000000,1.802203e+00,1.945655e-01,-5.048768e-02,-2.081605e+00,7.676538e+00,-2.384471e+00,6.307894e-02,4.699658e-02,-7.277718e-03,2.820488e-01,1.762990e-01,5.379695e-01,2.828440e-01,1.937382e-01,9.459587e-02,-6.319849e-01,-6.401676e-01,-2.775678e-01,-3.396587e-01,
25.000000,1.865754e+00,2.408088e-01,-5.830161e-02,-1.782515e+00,7.862276e+00,-1.825078e+00,6.399340e-02,4.550132e-02,-8.390065e-03,3.166417e-01,1.931787e-01,5.869113e-01,2.854279e-01,1.891064e-01,9.437715e-02,-6.734935e-01,-6.719811e-01,-2.589122e-01,-1.717154e-01,
26.000000,1.930359e+00,2.855128e-01,-6.698653e-02,-1.451733e+00,8.071917e+00,-1.244569e+00,6.522602e-02,4.391369e-02,-8.928786e-03,3.443397e-01,2.241265e-01,5.750193e-01,2.879433e-01,1.844684e-01,9.415893e-02,-6.947529e-01,-6.827953e-01,-2.296927e-01,1.201632e-03,
27.000000,1.996334e+00,3.286944e-01,-7.559567e-02,-1.101676e+00,8.298081e+00,-6.702828e-01,6.675309e-02,4.248040e-02,-8.109848e-03,3.528236e-01,2.233273e-01,5.810820e-01,2.903906e-01,1.798252e-01,9.394122e-02,-6.947508e-01,-6.726419e-01,-1.908159e-01,1.735415e-01,
28.000000,2.064030e+00,3.706076e-01,-8.253018e-02,-7.600652e-01,8.499738e+00,-5.545506e-02,6.867982e-02,4.136478e-02,-5.659931e-03,3.277093e-01,1.771770e-01,6.512671e-01,2.927700e-01,1.751780e-01,9.372401e-02,-6.731962e-01,-6.422195e-01,-1.436007e-01,3.396858e-01,
29.000000,2.133884e+00,4.114397e-01,-8.668020e-02,-4.559304e-01,8.645689e+00,6.302007e-01,7.106670e-02,4.028173e-02,-2.648441e-03,2.793203e-01,1.148859e-01,7.161024e-01,2.950817e-01,1.705279e-01,9.350730e-02,-6.305636e-01,-5.927900e-01,-8.962172e-02,4.945757e-01,
30.000000,2.206313e+00,4.510361e-01,-8.802867e-02,-2.039765e-01,8.729815e+00,1.355006e+00,7.381674e-02,3.887563e-02,-1.079494e-04,2.243545e-01,5.307579e-02,7.293433e-01,2.973260e-01,1.658757e-01,9.329110e-02,-5.679103e-01,-5.262800e-01,-3.081133e-02,6.334017e-01,
31.000000,2.281603e+00,4.889983e-01,-8.721700e-02,-7.958555e-03,8.749464e+00,2.073888e+00,7.677632e-02,3.699802e-02,1.647817e-03,1.675670e-01,-1.428673e-02,7.062007e-01,2.995032e-01,1.612226e-01,9.307539e-02,-4.869418e-01,-4.449956e-01,3.079268e-02,7.520283e-01,
32.000000,2.359901e+00,5.248280e-01,-8.503279e-02,1.315694e-01,8.701745e+00,2.761974e+00,7.982281e-02,3.462116e-02,2.668986e-03,1.117161e-01,-8.081192e-02,6.692089e-01,3.016135e-01,1.565697e-01,9.286019e-02,-3.900420e-01,-3.517150e-01,9.297134e-02,8.468458e-01,
33.000000,2.441233e+00,5.580268e-01,-8.209925e-02,2.172756e-01,8.588791e+00,3.406211e+00,8.284577e-02,3.179285e-02,3.209946e-03,5.952020e-02,-1.450315e-01,6.200263e-01,3.036573e-01,1.519178e-01,9.264548e-02,-2.801716e-01,-2.496968e-01,1.533067e-01,9.150396e-01,
34.000000,2.525530e+00,5.882070e-01,-7.874362e-02,2.530656e-01,8.412711e+00,3.994424e+00,8.575478e-02,2.858030e-02,3.505052e-03,1.186244e-02,-2.074367e-01,5.566445e-01,3.056350e-01,1.472680e-01,9.243127e-02,-1.603799e-01,-1.419913e-01,2.097021e-01,9.548720e-01,
35.000000,2.612653e+00,6.150143e-01,-7.511975e-02,2.438186e-01,8.180960e+00,4.523092e+00,8.849557e-02,2.504340e-02,3.742153e-03,-3.051641e-02,-2.568445e-01,4.994231e-01,3.075467e-01,1.426212e-01,9.221755e-02,-3.411556e-02,-3.193866e-02,2.599331e-01,9.653263e-01,
36.000000,2.702450e+00,6.381514e-01,-7.123841e-02,1.944669e-01,7.914658e+00,5.022245e+00,9.110191e-02,2.123873e-02,4.019303e-03,-6.830133e-02,-2.767760e-01,4.968924e-01,3.093929e-01,1.379783e-01,9.200433e-02,9.460369e-02,7.707481e-02,3.023948e-01,9.461876e-01,
37.000000,2.794760e+00,6.573581e-01,-6.706038e-02,1.086300e-01,7.645608e+00,5.552325e+00,9.352572e-02,1.718267e-02,4.334937e-03,-1.034288e-01,-2.623470e-01,5.614217e-01,3.111739e-01,1.333403e-01,9.179160e-02,2.220437e-01,1.819092e-01,3.350183e-01,8.982911e-01,
38.000000,2.889312e+00,6.723989e-01,-6.250466e-02,-1.247668e-02,7.400422e+00,6.154924e+00,9.559535e-02,1.290667e-02,4.770683e-03,-1.387489e-01,-2.285408e-01,6.437735e-01,3.128901e-01,1.287081e-01,9.157936e-02,3.442128e-01,2.794191e-01,3.565635e-01,8.232661e-01,
39.000000,2.985640e+00,6.830902e-01,-5.738906e-02,-1.696095e-01,7.186745e+00,6.818626e+00,9.709085e-02,8.481750e-03,5.447096e-03,-1.754402e-01,-1.982807e-01,6.863840e-01,3.145419e-01,1.240827e-01,9.136761e-02,4.573400e-01,3.668379e-01,3.661333e-01,7.235779e-01,
40.000000,3.083123e+00,6.893369e-01,-5.144472e-02,-3.653819e-01,7.003951e+00,7.503844e+00,9.791726e-02,4.011404e-03,6.422754e-03,-2.158017e-01,-1.677675e-01,6.860765e-01,3.161295e-01,1.194648e-01,9.115635e-02,5.579137e-01,4.417718e-01,3.631521e-01,6.024361e-01,
41.000000,3.181078e+00,6.911460e-01,-4.429811e-02,-6.035930e-01,6.860003e+00,8.194205e+00,9.803734e-02,-4.001571e-04,7.835932e-03,-2.604060e-01,-1.215807e-01,6.918754e-01,3.176535e-01,1.148554e-01,9.094558e-02,6.427849e-01,5.022514e-01,3.474649e-01,4.636395e-01,
42.000000,3.278800e+00,6.885903e-01,-3.554411e-02,-8.856058e-01,6.767190e+00,8.906534e+00,9.743947e-02,-4.714647e-03,9.663114e-03,-3.040008e-01,-6.372163e-02,7.319349e-01,3.191142e-01,1.102553e-01,9.073530e-02,7.093194e-01,5.466741e-01,3.194331e-01,3.114853e-01,
43.000000,3.375629e+00,6.817351e-01,-2.496104e-02,-1.206588e+00,6.727079e+00,9.663795e+00,9.615459e-02,-9.005742e-03,1.143697e-02,-3.358429e-01,-1.959755e-02,7.815034e-01,3.205120e-01,1.056654e-01,9.052551e-02,7.554734e-01,5.739663e-01,2.797416e-01,1.503202e-01,
44.000000,3.470885e+00,6.705080e-01,-1.308500e-02,-1.546542e+00,6.711052e+00,1.046033e+01,9.430840e-02,-1.347561e-02,1.215857e-02,-3.405606e-01,-1.846216e-02,8.069191e-01,3.218473e-01,1.010864e-01,9.031620e-02,7.793737e-01,5.837446e-01,2.294245e-01,-1.462014e-02,
45.000000,3.564115e+00,6.547155e-01,-1.168906e-03,-1.876533e+00,6.672559e+00,1.125591e+01,9.212933e-02,-1.811426e-02,1.156490e-02,-3.171699e-01,-6.087024e-02,7.787246e-01,3.231207e-01,9.651924e-02,9.010737e-02,7.800658e-01,5.760668e-01,1.699946e-01,-1.782714e-01,
46.000000,3.655084e+00,6.343155e-01,9.802018e-03,-2.175058e+00,6.590099e+00,1.201398e+01,8.979390e-02,-2.266454e-02,1.033830e-02,-2.784674e-01,-1.029640e-01,7.410573e-01,3.243324e-01,9.196469e-02,8.989903e-02,7.573121e-01,5.515036e-01,1.032948e-01,-3.356928e-01,
47.000000,3.743649e+00,6.094849e-01,1.946022e-02,-2.428730e+00,6.464858e+00,1.274977e+01,8.732147e-02,-2.696146e-02,8.985771e-03,-2.275191e-01,-1.499680e-01,7.314919e-01,3.254830e-01,8.742353e-02,8.969116e-02,7.115867e-01,5.111264e-01,3.146515e-02,-4.821231e-01,
48.000000,3.829689e+00,5.805304e-01,2.785392e-02,-2.625815e+00,6.277838e+00,1.346686e+01,8.474966e-02,-3.089249e-02,7.845616e-03,-1.652971e-01,-2.289482e-01,6.957993e-01,3.265729e-01,8.289654e-02,8.948378e-02,6.440437e-01,4.564287e-01,-4.318443e-02,-6.132455e-01,
49.000000,3.913147e+00,5.478582e-01,3.530227e-02,-2.757522e+00,6.000835e+00,1.412569e+01,8.217393e-02,-3.436980e-02,7.136924e-03,-9.820246e-02,-3.242612e-01,6.174050e-01,3.276026e-01,7.838446e-02,8.927688e-02,5.564787e-01,3.892872e-01,-1.181857e-01,-7.251644e-01,
50.000000,3.994042e+00,5.119433e-01,4.224818e-02,-2.824826e+00,5.640672e+00,1.471912e+01,7.960136e-02,-3.739982e-02,6.762895e-03,-3.835478e-02,-3.879855e-01,5.924316e-01,3.285725e-01,7.388804e-02,8.907046e-02,4.514274e-01,3.119904e-01,-1.909799e-01,-8.145529e-01,
51.000000,4.072336e+00,4.731928e-01,4.887094e-02,-2.839787e+00,5.240349e+00,1.533470e+01,7.696952e-02,-4.004087e-02,6.488001e-03,6.628909e-03,-4.129280e-01,6.327397e-01,3.294831e-01,6.940801e-02,8.886451e-02,3.318724e-01,2.270239e-01,-2.590713e-01,-8.788358e-01,
52.000000,4.147982e+00,4.319881e-01,5.523412e-02,-2.817256e+00,4.822668e+00,1.597868e+01,7.434436e-02,-4.229828e-02,6.271569e-03,3.743691e-02,-4.243031e-01,6.330085e-01,3.303349e-01,6.494509e-02,8.865904e-02,2.012902e-01,1.370630e-01,-3.200790e-01,-9.162113e-01,
53.000000,4.221040e+00,3.887098e-01,6.139464e-02,-2.766610e+00,4.392438e+00,1.657070e+01,7.177093e-02,-4.420429e-02,6.042835e-03,6.456009e-02,-4.315789e-01,5.502352e-01,3.311284e-01,6.049997e-02,8.845404e-02,6.351999e-02,4.487468e-02,-3.718258e-01,-9.257114e-01,
54.000000,4.291547e+00,3.436702e-01,6.726448e-02,-2.685484e+00,3.968173e+00,1.707705e+01,6.925887e-02,-4.584384e-02,5.638209e-03,9.958798e-02,-4.073168e-01,4.871418e-01,3.318640e-01,5.607333e-02,8.824952e-02,-7.735273e-02,-4.676609e-02,-4.124083e-01,-9.072163e-01,
55.000000,4.359625e+00,2.970701e-01,7.251731e-02,-2.561303e+00,3.592120e+00,1.757826e+01,6.694519e-02,-4.733071e-02,4.789710e-03,1.506225e-01,-3.399079e-01,5.257035e-01,3.325424e-01,5.166584e-02,8.804548e-02,-2.171180e-01,-1.351596e-01,-4.402656e-01,-8.614524e-01,
56.000000,4.425550e+00,2.490435e-01,7.664933e-02,-2.380580e+00,3.298708e+00,1.815338e+01,6.496232e-02,-4.869300e-02,3.397860e-03,2.099466e-01,-2.477116e-01,6.141780e-01,3.331639e-01,4.727816e-02,8.784190e-02,-3.515677e-01,-2.177597e-01,-4.542354e-01,-7.899650e-01,
57.000000,4.489682e+00,1.997433e-01,7.916998e-02,-2.143259e+00,3.091067e+00,1.879741e+01,6.334621e-02,-4.985592e-02,1.631680e-03,2.625457e-01,-1.742297e-01,6.634832e-01,3.337291e-01,4.291093e-02,8.763879e-02,-4.766226e-01,-2.922467e-01,-4.535981e-01,-6.950667e-01,
58.000000,4.552358e+00,1.494407e-01,7.993186e-02,-1.862109e+00,2.935325e+00,1.945846e+01,6.205143e-02,-5.068719e-02,-5.555585e-05,2.972323e-01,-1.404123e-01,6.612226e-01,3.342385e-01,3.856478e-02,8.743616e-02,-5.884571e-01,-3.565910e-01,-4.381058e-01,-5.797620e-01,
59.000000,4.613903e+00,9.851183e-02,7.922700e-02,-1.557188e+00,2.798320e+00,2.011677e+01,6.109535e-02,-5.110070e-02,-1.269525e-03,3.088069e-01,-1.380795e-01,6.568614e-01,3.346927e-01,3.424031e-02,8.723399e-02,-6.836221e-01,-4.091086e-01,-4.079949e-01,-4.476490e-01,
60.000000,4.674673e+00,4.737673e-02,7.761875e-02,-1.251892e+00,2.654681e+00,2.077307e+01,6.050626e-02,-5.110230e-02,-1.841589e-03,2.981689e-01,-1.517271e-01,6.555349e-01,3.350921e-01,2.993812e-02,8.703229e-02,-7.591242e-01,-4.485031e-01,-3.639969e-01,-3.028134e-01,
61.000000,4.735036e+00,-3.594470e-03,7.569036e-02,-9.656123e-01,2.491578e+00,2.141660e+01,6.027969e-02,-5.079007e-02,-1.941960e-03,2.719320e-01,-1.764719e-01,6.259840e-01,3.354373e-01,2.565881e-02,8.683106e-02,-8.125581e-01,-4.738903e-01,-3.073018e-01,-1.497039e-01,
62.000000,4.795330e+00,-5.414265e-02,7.377571e-02,-7.103793e-01,2.296418e+00,2.200410e+01,6.035630e-02,-5.027570e-02,-1.867837e-03,2.373726e-01,-2.161486e-01,5.394584e-01,3.357289e-01,2.140294e-02,8.663029e-02,-8.421620e-01,-4.848245e-01,-2.395369e-01,7.012864e-03,
63.000000,4.855834e+00,-1.041146e-01,7.189356e-02,-4.904290e-01,2.059479e+00,2.248425e+01,6.069751e-02,-4.965047e-02,-1.920795e-03,2.026474e-01,-2.575286e-01,4.160099e-01,3.359673e-01,1.717107e-02,8.642998e-02,-8.468799e-01,-4.812992e-01,-1.627189e-01,1.625902e-01,
64.000000,4.916830e+00,-1.534049e-01,6.987891e-02,-3.037548e-01,1.786955e+00,2.284297e+01,6.134752e-02,-4.891016e-02,-2.134586e-03,1.713066e-01,-2.849286e-01,3.043508e-01,3.361531e-01,1.296374e-02,8.623014e-02,-8.263991e-01,-4.637378e-01,-7.918999e-02,3.123479e-01,
65.000000,4.978653e+00,-2.018826e-01,6.761306e-02,-1.474310e-01,1.497316e+00,2.310694e+01,6.235050e-02,-4.802499e-02,-2.425946e-03,1.421998e-01,-2.912976e-01,2.285512e-01,3.362868e-01,8.781484e-03,8.603076e-02,-7.812181e-01,-4.329999e-01,8.448333e-03,4.518420e-01,
66.000000,5.041664e+00,-2.493962e-01,6.504467e-02,-2.073226e-02,1.212297e+00,2.331516e+01,6.373415e-02,-4.697554e-02,-2.713401e-03,1.114513e-01,-2.748317e-01,1.945750e-01,3.363691e-01,4.624818e-03,8.583185e-02,-7.124452e-01,-3.902449e-01,9.745003e-02,5.769148e-01,
67.000000,5.106238e+00,-2.957799e-01,6.218534e-02,7.206898e-02,9.537851e-01,2.350986e+01,6.547193e-02,-4.576691e-02,-3.013585e-03,7.344749e-02,-2.390398e-01,2.010707e-01,3.364005e-01,4.942467e-04,8.563339e-02,-6.219963e-01,-3.369959e-01,1.849171e-01,6.839043e-01,
68.000000,5.172697e+00,-3.408726e-01,5.901337e-02,1.226228e-01,7.396915e-01,2.372567e+01,6.750680e-02,-4.439440e-02,-3.337309e-03,2.615277e-02,-1.862346e-01,2.378428e-01,3.363814e-01,-3.609740e-03,8.543539e-02,-5.124482e-01,-2.750916e-01,2.680651e-01,7.697277e-01,
69.000000,5.241312e+00,-3.844936e-01,5.553336e-02,1.215787e-01,5.848822e-01,2.398816e+01,6.977018e-02,-4.282328e-02,-3.632370e-03,-2.997690e-02,-1.202330e-01,2.918032e-01,3.363125e-01,-7.686665e-03,8.523785e-02,-3.869044e-01,-2.065405e-01,3.441673e-01,8.318751e-01,
70.000000,5.312277e+00,-4.264077e-01,5.185081e-02,6.114715e-02,4.999281e-01,2.430828e+01,7.219445e-02,-4.096079e-02,-3.704611e-03,-9.182891e-02,-4.822003e-02,3.506782e-01,3.361944e-01,-1.173606e-02,8.504076e-02,-2.490506e-01,-1.334643e-01,4.105884e-01,8.686390e-01,
71.000000,5.385712e+00,-4.662583e-01,4.835587e-02,-6.266412e-02,4.870704e-01,2.468352e+01,7.470464e-02,-3.868970e-02,-3.241903e-03,-1.565895e-01,2.342827e-02,4.008846e-01,3.360276e-01,-1.575748e-02,8.484413e-02,-1.029460e-01,-5.815536e-02,4.650970e-01,8.791279e-01,
72.000000,5.461670e+00,-5.036015e-01,4.566525e-02,-2.514776e-01,5.447350e-01,2.510042e+01,7.722535e-02,-3.592293e-02,-2.027353e-03,-2.215502e-01,9.157297e-02,4.312373e-01,3.358126e-01,-1.975048e-02,8.464796e-02,4.712781e-02,1.710413e-02,5.057795e-01,8.631606e-01,
73.000000,5.540130e+00,-5.379274e-01,4.454972e-02,-5.036834e-01,6.680107e-01,2.553644e+01,7.969222e-02,-3.264475e-02,-7.699808e-05,-2.829413e-01,1.551866e-01,4.369604e-01,3.355501e-01,-2.371464e-02,8.445224e-02,1.967182e-01,9.009818e-02,5.311048e-01,8.213493e-01,
74.000000,5.621028e+00,-5.687914e-01,4.549195e-02,-8.108767e-01,8.487083e-01,2.597238e+01,8.209704e-02,-2.901430e-02,2.030377e-03,-3.303061e-01,2.051140e-01,4.324545e-01,3.352406e-01,-2.764954e-02,8.425697e-02,3.413471e-01,1.587375e-01,5.400626e-01,7.551766e-01,
75.000000,5.704336e+00,-5.960117e-01,4.813020e-02,-1.153018e+00,1.065887e+00,2.641377e+01,8.450647e-02,-2.535712e-02,3.296402e-03,-3.517343e-01,2.272686e-01,4.478916e-01,3.348847e-01,-3.155478e-02,8.406216e-02,4.766911e-01,2.211126e-01,5.321355e-01,6.667900e-01,
76.000000,5.790107e+00,-6.196322e-01,5.142499e-02,-1.502797e+00,1.290998e+00,2.687750e+01,8.705053e-02,-2.194562e-02,2.962355e-03,-3.416497e-01,2.152955e-01,4.914548e-01,3.344829e-01,-3.542998e-02,8.386779e-02,5.986415e-01,2.755164e-01,5.072895e-01,5.589413e-01,
77.000000,5.878558e+00,-6.398886e-01,5.386963e-02,-1.833161e+00,1.498096e+00,2.736433e+01,8.989284e-02,-1.856191e-02,1.821151e-03,-3.166693e-01,1.971845e-01,4.743212e-01,3.340359e-01,-3.927475e-02,8.367387e-02,7.035032e-01,3.205546e-01,4.661012e-01,4.350420e-01,
78.000000,5.969866e+00,-6.567301e-01,5.478468e-02,-2.130270e+00,1.696396e+00,2.780284e+01,9.279024e-02,-1.509325e-02,-8.431239e-06,-2.768665e-01,1.996533e-01,3.852448e-01,3.335442e-01,-4.308873e-02,8.348040e-02,7.880966e-01,3.551481e-01,4.096641e-01,2.989279e-01,
79.000000,6.063994e+00,-6.699914e-01,5.380578e-02,-2.382085e+00,1.909930e+00,2.813113e+01,9.541421e-02,-1.142306e-02,-2.179718e-03,-2.219608e-01,2.338701e-01,2.635726e-01,3.330083e-01,-4.687157e-02,8.328738e-02,8.497568e-01,3.785118e-01,3.395084e-01,1.547359e-01,
80.000000,6.160491e+00,-6.794299e-01,5.081408e-02,-2.573483e+00,2.167685e+00,2.835378e+01,9.750316e-02,-7.407207e-03,-3.730211e-03,-1.593392e-01,2.823510e-01,1.897606e-01,3.324290e-01,-5.062292e-02,8.309481e-02,8.865331e-01,3.902360e-01,2.576605e-01,6.874857e-03,
81.000000,6.258677e+00,-6.846785e-01,4.651923e-02,-2.700526e+00,2.481165e+00,2.850913e+01,9.871866e-02,-3.032256e-03,-4.781742e-03,-9.443817e-02,3.471905e-01,1.210604e-01,3.318067e-01,-5.434247e-02,8.290268e-02,8.972510e-01,3.902501e-01,1.664713e-01,-1.401661e-01,
82.000000,6.357554e+00,-6.854381e-01,4.127663e-02,-2.761144e+00,2.866140e+00,2.859650e+01,9.884364e-02,1.545569e-03,-5.684135e-03,-2.665341e-02,4.248215e-01,5.252826e-02,3.311420e-01,-5.802988e-02,8.271099e-02,8.814418e-01,3.788787e-01,6.878987e-02,-2.820057e-01,
83.000000,6.455944e+00,-6.815696e-01,3.513775e-02,-2.758933e+00,3.329509e+00,2.860358e+01,9.773020e-02,6.197386e-03,-6.599245e-03,2.806286e-02,5.006236e-01,-4.553235e-02,3.304355e-01,-6.168486e-02,8.251975e-02,8.394763e-01,3.567611e-01,-3.241025e-02,-4.144169e-01,
